timestamp_utc,archivo,total_registros
20260802T160239Z,clientes_telefonos_20260802T160239Z.csv,5
20260802T161619Z,clientes_telefonos_20260802T161619Z.csv,5
20260802T212430Z,clientes_telefonos_20260802T212430Z.csv,8
20260802T213802Z,clientes_telefonos_20260802T213802Z.csv,8
20260802T213902Z,clientes_telefonos_20260802T213902Z.csv,8
20260802T214000Z,clientes_telefonos_20260802T214000Z.csv,9
20260802T214410Z,clientes_telefonos_20260802T214410Z.csv,10
20260802T215011Z,clientes_telefonos_20260802T215011Z.csv,10
20260802T215122Z,clientes_telefonos_20260802T215122Z.csv,11
2026-08-02_17-01-14,clientes_telefonos_2026-08-02_17-01-14.csv,11
